Gene stable ID,Mouse gene stable ID,Mouse gene name,Gene name
ENSMOCG00000007077,ENSMUSG00000088419,Gm24236,SNORA70
ENSMOCG00000007077,ENSMUSG00000065725,Gm26165,SNORA70
ENSMOCG00000007078,ENSMUSG00000049164,Zfp518a,Zfp518a
ENSMOCG00000007079,ENSMUSG00000035557,Krt17,Krt17
ENSMOCG00000007080,,,
ENSMOCG00000007081,ENSMUSG00000024613,Tcof1,Tcof1
ENSMOCG00000007082,ENSMUSG00000047085,Lrrc4b,Lrrc4b
ENSMOCG00000007083,ENSMUSG00000065601,Mir146,
ENSMOCG00000007084,ENSMUSG00000065537,Mir132,
ENSMOCG00000007085,,,U6
ENSMOCG00000007086,ENSMUSG00000095440,Fignl2,Fignl2
ENSMOCG00000007087,ENSMUSG00000065523,Mir192,
ENSMOCG00000007088,ENSMUSG00000029141,Slc4a1ap,Slc4a1ap
ENSMOCG00000007089,ENSMUSG00000019214,Chtf18,Chtf18
ENSMOCG00000007090,ENSMUSG00000029650,Slc46a3,Slc46a3
ENSMOCG00000007091,ENSMUSG00000044444,Pfn3,Pfn3
ENSMOCG00000007092,ENSMUSG00000028884,Rpa2,Rpa2
ENSMOCG00000007093,ENSMUSG00000030243,Recql,Recql
ENSMOCG00000007094,ENSMUSG00000088057,Gm26149,U6
ENSMOCG00000007095,ENSMUSG00000032177,Pde4a,Pde4a
ENSMOCG00000007096,ENSMUSG00000087802,Gm25979,SNORA70
ENSMOCG00000007097,ENSMUSG00000022556,Hsf1,Hsf1
ENSMOCG00000007098,,,U6
ENSMOCG00000007099,,,
ENSMOCG00000007100,ENSMUSG00000026568,Mpc2,
ENSMOCG00000007101,,,
ENSMOCG00000007102,,,
ENSMOCG00000007103,,,
ENSMOCG00000007104,ENSMUSG00000034059,Ypel4,Ypel4
ENSMOCG00000007105,ENSMUSG00000040594,Ranbp17,Ranbp17
ENSMOCG00000007106,,,
ENSMOCG00000007107,ENSMUSG00000043336,Filip1l,Filip1l
ENSMOCG00000007108,ENSMUSG00000077511,Gm25875,U6
ENSMOCG00000007109,ENSMUSG00000021039,Snw1,
ENSMOCG00000007110,ENSMUSG00000002227,Mov10,Mov10
ENSMOCG00000007111,ENSMUSG00000064740,Gm24706,SNORA70
ENSMOCG00000007111,ENSMUSG00000088420,Gm22551,SNORA70
ENSMOCG00000007111,ENSMUSG00000089002,Gm23855,SNORA70
ENSMOCG00000007111,ENSMUSG00000088058,Gm26153,SNORA70
ENSMOCG00000007111,ENSMUSG00000089556,Gm24175,SNORA70
ENSMOCG00000007111,ENSMUSG00000089524,Gm22327,SNORA70
ENSMOCG00000007111,ENSMUSG00000064981,Snora70,SNORA70
ENSMOCG00000007111,ENSMUSG00000088419,Gm24236,SNORA70
ENSMOCG00000007111,ENSMUSG00000065725,Gm26165,SNORA70
ENSMOCG00000007112,,,7SK
ENSMOCG00000007113,ENSMUSG00000035274,Tpbg,Tpbg
ENSMOCG00000007114,ENSMUSG00000049511,Htr1b,Htr1b
ENSMOCG00000007115,ENSMUSG00000065549,Mir200b,
ENSMOCG00000007116,,,U6
ENSMOCG00000007117,,,
ENSMOCG00000007118,ENSMUSG00000022912,Pros1,Pros1
ENSMOCG00000007119,,,
ENSMOCG00000007120,ENSMUSG00000020241,Col6a2,Col6a2
ENSMOCG00000007121,ENSMUSG00000062444,Ap3b2,Ap3b2
ENSMOCG00000007122,ENSMUSG00000002289,Angptl4,Angptl4
ENSMOCG00000007123,,,
ENSMOCG00000007124,ENSMUSG00000030111,A2m,A2m
ENSMOCG00000007125,ENSMUSG00000031843,Mphosph6,Mphosph6
ENSMOCG00000007126,ENSMUSG00000089397,Gm23026,U6
ENSMOCG00000007126,ENSMUSG00000088067,Gm24480,U6
ENSMOCG00000007127,ENSMUSG00000089177,Gm22435,
ENSMOCG00000007128,,,
ENSMOCG00000007129,,,7SK
ENSMOCG00000007130,ENSMUSG00000024575,Pde6a,Pde6a
ENSMOCG00000007131,ENSMUSG00000026984,Il1f6,Il1f6
ENSMOCG00000007132,ENSMUSG00000052087,Rgs14,Rgs14
ENSMOCG00000007133,ENSMUSG00000105827,H2bc18,H2bc18
ENSMOCG00000007134,ENSMUSG00000065130,Gm24457,U6
ENSMOCG00000007135,ENSMUSG00000095270,Ifna9,
ENSMOCG00000007135,ENSMUSG00000100079,Ifnab,
ENSMOCG00000007135,ENSMUSG00000101252,Ifna6,
ENSMOCG00000007135,ENSMUSG00000063376,Ifna13,
ENSMOCG00000007135,ENSMUSG00000095896,Ifna14,
ENSMOCG00000007135,ENSMUSG00000073811,Ifna12,
ENSMOCG00000007135,ENSMUSG00000096682,Ifna5,
ENSMOCG00000007135,ENSMUSG00000078354,Ifna2,
ENSMOCG00000007135,ENSMUSG00000100713,Ifna7,
ENSMOCG00000007135,ENSMUSG00000070904,Ifna4,
ENSMOCG00000007135,ENSMUSG00000096011,Ifna15,
ENSMOCG00000007135,ENSMUSG00000078355,Ifna16,
ENSMOCG00000007135,ENSMUSG00000095498,Ifna1,
ENSMOCG00000007135,ENSMUSG00000100549,Ifna11,
ENSMOCG00000007136,ENSMUSG00000077111,Mir18b,
ENSMOCG00000007137,ENSMUSG00000041801,Phlda3,Phlda3
ENSMOCG00000007138,ENSMUSG00000065527,Mir93,
ENSMOCG00000007139,,,
ENSMOCG00000007140,ENSMUSG00000027219,Slc28a2,
ENSMOCG00000007140,ENSMUSG00000079071,Slc28a2b,
ENSMOCG00000007141,ENSMUSG00000030742,Lat,
ENSMOCG00000007142,,,
ENSMOCG00000007143,ENSMUSG00000088956,Gm24945,
ENSMOCG00000007143,ENSMUSG00000093874,Gm24539,
ENSMOCG00000007143,ENSMUSG00000065663,Gm22579,
ENSMOCG00000007143,ENSMUSG00000065379,Gm22743,
ENSMOCG00000007143,ENSMUSG00000088996,Gm22765,
ENSMOCG00000007143,ENSMUSG00000096563,Gm24095,
ENSMOCG00000007144,ENSMUSG00000088360,Gm23500,U6
ENSMOCG00000007145,ENSMUSG00000031139,Mcf2,Mcf2
ENSMOCG00000007146,ENSMUSG00000045140,Pigw,Pigw
ENSMOCG00000007147,,,7SK
ENSMOCG00000007148,,,
ENSMOCG00000007149,ENSMUSG00000079164,Tlr5,Tlr5
ENSMOCG00000007150,ENSMUSG00000098762,Mir7045,
ENSMOCG00000007151,,,U6
ENSMOCG00000007152,ENSMUSG00000105904,Mir24-1,
ENSMOCG00000007153,ENSMUSG00000038930,Rccd1,
ENSMOCG00000007154,ENSMUSG00000002307,Daxx,Daxx
ENSMOCG00000007155,ENSMUSG00000021326,Trim27,Trim27
ENSMOCG00000007156,ENSMUSG00000042564,Fam227a,Fam227a
ENSMOCG00000007157,ENSMUSG00000024347,Psd2,Psd2
ENSMOCG00000007158,ENSMUSG00000039982,Dtx4,Dtx4
ENSMOCG00000007159,ENSMUSG00000041837,Pdcd7,Pdcd7
ENSMOCG00000007160,ENSMUSG00000047281,Sfn,Sfn
ENSMOCG00000007161,ENSMUSG00000057894,Zfp329,
ENSMOCG00000007162,ENSMUSG00000021973,Micu2,Micu2
ENSMOCG00000007163,,,7SK
ENSMOCG00000007164,ENSMUSG00000088956,Gm24945,
ENSMOCG00000007164,ENSMUSG00000093874,Gm24539,
ENSMOCG00000007164,ENSMUSG00000065663,Gm22579,
ENSMOCG00000007164,ENSMUSG00000065379,Gm22743,
ENSMOCG00000007164,ENSMUSG00000088996,Gm22765,
ENSMOCG00000007164,ENSMUSG00000096563,Gm24095,
ENSMOCG00000007165,ENSMUSG00000038077,Kcna6,Kcna6
ENSMOCG00000007166,ENSMUSG00000020882,Cacnb1,Cacnb1
ENSMOCG00000007167,,,U6
ENSMOCG00000007168,,,
ENSMOCG00000007169,,,
ENSMOCG00000007170,,,
ENSMOCG00000007171,ENSMUSG00000076376,Mir674,
ENSMOCG00000007172,ENSMUSG00000037960,Card19,Card19
ENSMOCG00000007173,ENSMUSG00000040855,Reps2,Reps2
ENSMOCG00000007174,ENSMUSG00000023008,Fmnl3,Fmnl3
ENSMOCG00000007175,ENSMUSG00000020840,Blmh,Blmh
ENSMOCG00000007176,ENSMUSG00000042271,Nxt2,Nxt2
ENSMOCG00000007177,ENSMUSG00000045613,Chrm2,Chrm2
ENSMOCG00000007178,ENSMUSG00000022426,Josd1,Josd1
ENSMOCG00000007179,ENSMUSG00000036905,C1qb,C1qb
ENSMOCG00000007180,ENSMUSG00000055805,Fmnl1,Fmnl1
ENSMOCG00000007181,ENSMUSG00000043998,Mgat2,Mgat2
ENSMOCG00000007182,ENSMUSG00000065309,Gm23244,U6
ENSMOCG00000007183,ENSMUSG00000045282,Tmem86b,Tmem86b
ENSMOCG00000007184,ENSMUSG00000028194,Ddah1,
ENSMOCG00000007185,ENSMUSG00000064530,Gm23613,
ENSMOCG00000007186,,,
ENSMOCG00000007187,ENSMUSG00000088956,Gm24945,
ENSMOCG00000007187,ENSMUSG00000093874,Gm24539,
ENSMOCG00000007187,ENSMUSG00000065663,Gm22579,
ENSMOCG00000007187,ENSMUSG00000065379,Gm22743,
ENSMOCG00000007187,ENSMUSG00000088996,Gm22765,
ENSMOCG00000007187,ENSMUSG00000096563,Gm24095,
ENSMOCG00000007188,,,
ENSMOCG00000007189,,,7SK
ENSMOCG00000007190,,,
ENSMOCG00000007191,ENSMUSG00000005682,Pan2,Pan2
ENSMOCG00000007192,ENSMUSG00000040606,Kazn,
ENSMOCG00000007193,ENSMUSG00000004054,Map3k11,Map3k11
ENSMOCG00000007194,ENSMUSG00000036899,Trpv5,Trpv5
ENSMOCG00000007195,ENSMUSG00000076010,Mir615,
ENSMOCG00000007196,ENSMUSG00000034501,Pcnx4,Pcnx4
ENSMOCG00000007197,ENSMUSG00000045205,Dpy19l4,Dpy19l4
ENSMOCG00000007198,ENSMUSG00000050029,Rap2c,Rap2c
ENSMOCG00000007199,ENSMUSG00000052415,Tchh,
ENSMOCG00000007200,ENSMUSG00000027160,Ccdc34,Ccdc34
ENSMOCG00000007201,ENSMUSG00000040481,Bptf,
ENSMOCG00000007202,ENSMUSG00000037104,Socs5,Socs5
ENSMOCG00000007203,,,
ENSMOCG00000007204,,,
ENSMOCG00000007205,ENSMUSG00000033446,Lpar6,Lpar6
ENSMOCG00000007206,,,
ENSMOCG00000007207,,,U6
ENSMOCG00000007208,,,7SK
ENSMOCG00000007209,ENSMUSG00000027714,Exosc9,Exosc9
ENSMOCG00000007210,,,
ENSMOCG00000007211,ENSMUSG00000070141,Mir494,
ENSMOCG00000007212,,,
ENSMOCG00000007213,,,
ENSMOCG00000007214,,,
ENSMOCG00000007215,ENSMUSG00000045975,C2cd2,C2cd2
ENSMOCG00000007216,ENSMUSG00000020211,Sf3a2,Sf3a2
ENSMOCG00000007217,ENSMUSG00000020186,Csrp2,Csrp2
ENSMOCG00000007218,ENSMUSG00000028608,Czib,
ENSMOCG00000007219,ENSMUSG00000049548,Krt82,Krt82
ENSMOCG00000007220,ENSMUSG00000026078,Pdcl3,
ENSMOCG00000007221,ENSMUSG00000065445,Mir143,
ENSMOCG00000007222,ENSMUSG00000087785,Gm23172,
ENSMOCG00000007223,,,
ENSMOCG00000007224,ENSMUSG00000030200,Bcl2l14,Bcl2l14
ENSMOCG00000007225,,,U6
ENSMOCG00000007226,ENSMUSG00000065728,Gm26175,
ENSMOCG00000007227,ENSMUSG00000030435,U2af2,
ENSMOCG00000007228,ENSMUSG00000070103,Mir488,
ENSMOCG00000007229,,,7SK
ENSMOCG00000007230,ENSMUSG00000026640,Plxna2,Plxna2
ENSMOCG00000007231,ENSMUSG00000037434,Slc30a1,
ENSMOCG00000007232,ENSMUSG00000054236,Olfr481,Olfr481
ENSMOCG00000007233,,,
ENSMOCG00000007234,ENSMUSG00000033149,Phldb2,Phldb2
ENSMOCG00000007235,ENSMUSG00000038344,Txlng,
ENSMOCG00000007236,ENSMUSG00000021038,Vipas39,Vipas39
ENSMOCG00000007237,ENSMUSG00000048626,Klf17,Klf17
ENSMOCG00000007238,ENSMUSG00000030499,Kctd15,Kctd15
ENSMOCG00000007239,,,
ENSMOCG00000007240,ENSMUSG00000039219,Arid4b,
ENSMOCG00000007241,ENSMUSG00000065569,Mir137,
ENSMOCG00000007242,ENSMUSG00000089050,Gm23353,
ENSMOCG00000007243,ENSMUSG00000076067,Mir592,
ENSMOCG00000007244,ENSMUSG00000067586,S1pr3,S1pr3
ENSMOCG00000007245,ENSMUSG00000077571,Snora36b,
ENSMOCG00000007246,,,
ENSMOCG00000007247,ENSMUSG00000023918,Adgrf4,Adgrf4
ENSMOCG00000007248,ENSMUSG00000098979,Gm27544,
ENSMOCG00000007249,ENSMUSG00000030754,Copb1,Copb1
ENSMOCG00000007250,,,
ENSMOCG00000007251,ENSMUSG00000065312,Gm26063,U6
ENSMOCG00000007252,ENSMUSG00000049608,Gpr55,Gpr55
ENSMOCG00000007253,,,
ENSMOCG00000007254,ENSMUSG00000003352,Cacnb3,Cacnb3
ENSMOCG00000007255,ENSMUSG00000088211,Gm22083,U6
ENSMOCG00000007256,,,
ENSMOCG00000007257,ENSMUSG00000039765,Cc2d2a,Cc2d2a
ENSMOCG00000007258,,,
ENSMOCG00000007259,,,7SK
ENSMOCG00000007260,ENSMUSG00000042678,Myo15,Myo15
ENSMOCG00000007261,ENSMUSG00000049916,2610318N02Rik,2610318N02Rik
ENSMOCG00000007262,ENSMUSG00000029918,Mrps33,
ENSMOCG00000007263,ENSMUSG00000088283,Gm23587,U6
ENSMOCG00000007264,,,
ENSMOCG00000007265,ENSMUSG00000032763,Ilvbl,Ilvbl
ENSMOCG00000007266,ENSMUSG00000073792,Alg6,Alg6
ENSMOCG00000007267,,,
ENSMOCG00000007268,,,
ENSMOCG00000007269,ENSMUSG00000067276,Capn6,Capn6
ENSMOCG00000007270,,,
ENSMOCG00000007271,ENSMUSG00000032584,Mst1r,Mst1r
ENSMOCG00000007272,ENSMUSG00000033983,Coil,Coil
ENSMOCG00000007273,,,U6
ENSMOCG00000007274,,,
ENSMOCG00000007275,,,7SK
ENSMOCG00000007276,ENSMUSG00000023707,Ogfod2,Ogfod2
ENSMOCG00000007277,,,
ENSMOCG00000007278,ENSMUSG00000037780,Mbl1,Mbl1
ENSMOCG00000007279,ENSMUSG00000045648,Vwc2l,Vwc2l
ENSMOCG00000007280,ENSMUSG00000049252,Lrp1b,Lrp1b
ENSMOCG00000007281,,,U6
ENSMOCG00000007282,ENSMUSG00000090667,Gm765,Gm765
ENSMOCG00000007283,ENSMUSG00000088335,Gm22843,
ENSMOCG00000007284,ENSMUSG00000073043,Atoh1,Atoh1
ENSMOCG00000007285,ENSMUSG00000027223,Mapk8ip1,Mapk8ip1
ENSMOCG00000007286,ENSMUSG00000021852,Slc35f4,Slc35f4
ENSMOCG00000007287,ENSMUSG00000042302,Ehbp1,Ehbp1
ENSMOCG00000007288,,,
ENSMOCG00000007289,ENSMUSG00000017291,Taok1,Taok1
ENSMOCG00000007290,ENSMUSG00000031333,Abcb7,Abcb7
ENSMOCG00000007291,,,
ENSMOCG00000007292,,,
ENSMOCG00000007293,ENSMUSG00000051617,Krt9,Krt9
ENSMOCG00000007294,,,
ENSMOCG00000007295,ENSMUSG00000022053,Ebf2,Ebf2
ENSMOCG00000007296,ENSMUSG00000054988,Agtr1b,Agtr1b
ENSMOCG00000007297,ENSMUSG00000064734,Gm23445,U6
ENSMOCG00000007298,ENSMUSG00000054892,Txk,Txk
ENSMOCG00000007299,ENSMUSG00000024640,Psat1,
ENSMOCG00000007300,,,
ENSMOCG00000007301,ENSMUSG00000039754,Alkbh4,Alkbh4
ENSMOCG00000007302,ENSMUSG00000018459,Slc13a3,Slc13a3
ENSMOCG00000007303,ENSMUSG00000099486,Olfr1228,
ENSMOCG00000007303,ENSMUSG00000075097,Olfr1226,
ENSMOCG00000007304,ENSMUSG00000016150,Tenm1,Tenm1
ENSMOCG00000007305,ENSMUSG00000032412,Atp1b3,Atp1b3
ENSMOCG00000007306,,,U6
ENSMOCG00000007307,ENSMUSG00000067274,Rplp0,
ENSMOCG00000007308,ENSMUSG00000027195,Hsd17b12,Hsd17b12
ENSMOCG00000007309,ENSMUSG00000065715,Snord7,
ENSMOCG00000007310,ENSMUSG00000065502,Mir202,
ENSMOCG00000007311,ENSMUSG00000016831,Tox4,Tox4
ENSMOCG00000007312,ENSMUSG00000021187,Tc2n,Tc2n
ENSMOCG00000007313,,,
ENSMOCG00000007314,ENSMUSG00000060257,Scrt2,Scrt2
ENSMOCG00000007315,ENSMUSG00000065544,Mir32,
ENSMOCG00000007316,ENSMUSG00000077409,Gm25416,U6
ENSMOCG00000007317,,,
ENSMOCG00000007318,ENSMUSG00000023089,Ndufa5,Ndufa5
ENSMOCG00000007319,ENSMUSG00000037815,Ctnna1,Ctnna1
ENSMOCG00000007320,,,
ENSMOCG00000007321,,,7SK
ENSMOCG00000007322,ENSMUSG00000069670,Nkain2,Nkain2
ENSMOCG00000007323,,,U6
ENSMOCG00000007324,ENSMUSG00000026701,Prdx6,
ENSMOCG00000007324,ENSMUSG00000050114,Prdx6b,
ENSMOCG00000007325,ENSMUSG00000019846,Lama4,Lama4
ENSMOCG00000007326,,,U1
ENSMOCG00000007327,,,
ENSMOCG00000007328,,,
ENSMOCG00000007329,ENSMUSG00000103124,Gm37389,
ENSMOCG00000007329,ENSMUSG00000027528,Fabp9,
ENSMOCG00000007330,ENSMUSG00000065501,Mir335,
ENSMOCG00000007331,,,
ENSMOCG00000007332,ENSMUSG00000040632,Nrl,Nrl
ENSMOCG00000007333,ENSMUSG00000031750,Il34,Il34
ENSMOCG00000007334,ENSMUSG00000072754,Lrcol1,Lrcol1
ENSMOCG00000007335,ENSMUSG00000065469,Mir129-1,
ENSMOCG00000007336,ENSMUSG00000018042,Cyb5r3,Cyb5r3
ENSMOCG00000007337,ENSMUSG00000054676,1600014C10Rik,1600014C10Rik
ENSMOCG00000007338,ENSMUSG00000074748,Atxn7l3b,Atxn7l3b
ENSMOCG00000007339,,,
ENSMOCG00000007340,ENSMUSG00000032344,Cgas,Cgas
ENSMOCG00000007341,ENSMUSG00000064843,Gm26207,U6
ENSMOCG00000007342,ENSMUSG00000010142,Tnfrsf13b,Tnfrsf13b
ENSMOCG00000007343,,,U6
ENSMOCG00000007344,ENSMUSG00000038214,Bend3,Bend3
ENSMOCG00000007345,,,
ENSMOCG00000007346,ENSMUSG00000033819,Ppp1r16a,Ppp1r16a
ENSMOCG00000007347,ENSMUSG00000022861,Dgkg,Dgkg
ENSMOCG00000007348,ENSMUSG00000029255,Gnrhr,Gnrhr
ENSMOCG00000007349,ENSMUSG00000064613,Gm24621,U1
ENSMOCG00000007350,ENSMUSG00000078653,Cntd1,Cntd1
ENSMOCG00000007351,ENSMUSG00000065479,Mir125a,
ENSMOCG00000007352,ENSMUSG00000040102,Klhl42,Klhl42
ENSMOCG00000007353,ENSMUSG00000014633,Cmc2,Cmc2
ENSMOCG00000007354,ENSMUSG00000105210,Mir3544,
ENSMOCG00000007355,ENSMUSG00000098732,Gm27834,
ENSMOCG00000007356,ENSMUSG00000005779,Psmb4,Psmb4
ENSMOCG00000007357,ENSMUSG00000065402,Mir122,
ENSMOCG00000007358,ENSMUSG00000088044,Gm23326,U6
ENSMOCG00000007359,,,U6
ENSMOCG00000007360,ENSMUSG00000118401,Gpr52,Gpr52
ENSMOCG00000007361,,,
ENSMOCG00000007362,ENSMUSG00000001666,Ddt,
ENSMOCG00000007363,,,5S_rRNA
ENSMOCG00000007364,,,
ENSMOCG00000007365,ENSMUSG00000069020,Urm1,Urm1
ENSMOCG00000007366,,,
ENSMOCG00000007367,ENSMUSG00000033540,Idua,
ENSMOCG00000007368,ENSMUSG00000050471,Fam118b,
ENSMOCG00000007369,ENSMUSG00000065399,Mir133a-1,
ENSMOCG00000007370,ENSMUSG00000023266,Frs3,Frs3
ENSMOCG00000007371,ENSMUSG00000041301,Cftr,Cftr
ENSMOCG00000007372,ENSMUSG00000037705,Tecta,Tecta
ENSMOCG00000007373,ENSMUSG00000089447,Gm22532,
ENSMOCG00000007374,ENSMUSG00000036980,Taf6,Taf6
ENSMOCG00000007375,ENSMUSG00000070372,Capza1,Capza1
ENSMOCG00000007376,,,
ENSMOCG00000007377,ENSMUSG00000090019,Gimap1,Gimap1
ENSMOCG00000007378,ENSMUSG00000084648,Gm24378,U6
ENSMOCG00000007379,ENSMUSG00000037935,Smarce1,
ENSMOCG00000007380,ENSMUSG00000026979,Psd4,Psd4
ENSMOCG00000007381,,,U6
ENSMOCG00000007382,ENSMUSG00000074738,Fndc10,Fndc10
ENSMOCG00000007383,ENSMUSG00000047501,Cldn4,Cldn4
ENSMOCG00000007384,,,
ENSMOCG00000007385,,,5S_rRNA
ENSMOCG00000007386,ENSMUSG00000029712,Actl6b,Actl6b
ENSMOCG00000007387,ENSMUSG00000065515,Mir152,
ENSMOCG00000007388,ENSMUSG00000036438,Calm2,Calm2
ENSMOCG00000007389,ENSMUSG00000020955,Ap4s1,Ap4s1
ENSMOCG00000007390,ENSMUSG00000063229,Ldha,
ENSMOCG00000007391,ENSMUSG00000041168,Lonp1,Lonp1
ENSMOCG00000007392,ENSMUSG00000080394,Gm23786,
ENSMOCG00000007392,ENSMUSG00000106163,Gm26047,
ENSMOCG00000007393,ENSMUSG00000076379,Mir190a,
ENSMOCG00000007394,ENSMUSG00000049152,Ugt3a2,
ENSMOCG00000007394,ENSMUSG00000072664,Ugt3a1,
ENSMOCG00000007395,,,U6
ENSMOCG00000007396,ENSMUSG00000018415,Gid4,Gid4
ENSMOCG00000007397,,,U6
ENSMOCG00000007398,,,
ENSMOCG00000007399,ENSMUSG00000038055,Dexi,Dexi
ENSMOCG00000007400,ENSMUSG00000043372,Hexim2,Hexim2
ENSMOCG00000007401,,,5S_rRNA
ENSMOCG00000007402,ENSMUSG00000028567,Txndc12,Txndc12
ENSMOCG00000007403,ENSMUSG00000090733,Rps27,
ENSMOCG00000007404,ENSMUSG00000038155,Gstp2,
ENSMOCG00000007404,ENSMUSG00000060803,Gstp1,
ENSMOCG00000007405,ENSMUSG00000021940,Ptpn20,Ptpn20
ENSMOCG00000007406,ENSMUSG00000068264,Ap5s1,Ap5s1
ENSMOCG00000007407,ENSMUSG00000076460,Mir744,
ENSMOCG00000007408,ENSMUSG00000036062,Phf24,Phf24
ENSMOCG00000007409,,,
ENSMOCG00000007410,,,
ENSMOCG00000007411,ENSMUSG00000065468,Mir26b,
ENSMOCG00000007412,ENSMUSG00000001802,Lrp3,Lrp3
ENSMOCG00000007413,,,U6
ENSMOCG00000007414,ENSMUSG00000019054,Fis1,Fis1
ENSMOCG00000007415,,,
ENSMOCG00000007416,ENSMUSG00000064443,Gm26226,U6
ENSMOCG00000007417,,,5S_rRNA
ENSMOCG00000007418,ENSMUSG00000093931,Amy2a3,
ENSMOCG00000007418,ENSMUSG00000096770,Amy2a4,
ENSMOCG00000007418,ENSMUSG00000074268,Amy2a5,
ENSMOCG00000007418,ENSMUSG00000070360,Amy2a1,
ENSMOCG00000007418,ENSMUSG00000096569,Amy2a2,
ENSMOCG00000007419,ENSMUSG00000067279,Ppp1r3c,Ppp1r3c
ENSMOCG00000007420,ENSMUSG00000070081,Mir505,
ENSMOCG00000007421,ENSMUSG00000031326,Cdx4,Cdx4
ENSMOCG00000007422,ENSMUSG00000047819,Tigd4,Tigd4
ENSMOCG00000007423,ENSMUSG00000002930,Ppp1r17,Ppp1r17
ENSMOCG00000007424,ENSMUSG00000022322,Shcbp1,Shcbp1
ENSMOCG00000007425,ENSMUSG00000052435,Cebpe,Cebpe
ENSMOCG00000007426,ENSMUSG00000038583,Pln,Pln
ENSMOCG00000007427,,,
ENSMOCG00000007428,ENSMUSG00000105884,Gm22711,
ENSMOCG00000007429,ENSMUSG00000001518,Itfg2,Itfg2
ENSMOCG00000007430,ENSMUSG00000020627,Klhl29,Klhl29
ENSMOCG00000007431,ENSMUSG00000030814,Bcl7c,Bcl7c
ENSMOCG00000007432,ENSMUSG00000090273,Prr22,Prr22
ENSMOCG00000007433,ENSMUSG00000063458,Lrmda,Lrmda
ENSMOCG00000007434,ENSMUSG00000044814,Olfr543,Olfr543
ENSMOCG00000007435,ENSMUSG00000089035,Gm22157,U6
ENSMOCG00000007436,ENSMUSG00000050762,Prss27,Prss27
ENSMOCG00000007437,,,
ENSMOCG00000007438,,,
ENSMOCG00000007439,,,
ENSMOCG00000007440,ENSMUSG00000064899,Snord118,U8
ENSMOCG00000007441,,,
ENSMOCG00000007442,ENSMUSG00000060036,Rpl3,
ENSMOCG00000007443,,,5S_rRNA
ENSMOCG00000007444,ENSMUSG00000027775,Mfsd1,Mfsd1
ENSMOCG00000007445,ENSMUSG00000031578,Mak16,Mak16
ENSMOCG00000007446,ENSMUSG00000065211,Gm26265,
ENSMOCG00000007447,ENSMUSG00000038812,Trmt112,
ENSMOCG00000007448,ENSMUSG00000053046,Brsk2,Brsk2
ENSMOCG00000007449,,,U6
ENSMOCG00000007450,ENSMUSG00000042717,Ppp1r3a,Ppp1r3a
ENSMOCG00000007451,,,
ENSMOCG00000007452,ENSMUSG00000071714,Csf2rb2,
ENSMOCG00000007452,ENSMUSG00000071713,Csf2rb,
ENSMOCG00000007453,ENSMUSG00000030075,Cntn3,Cntn3
ENSMOCG00000007454,ENSMUSG00000046949,Nqo2,Nqo2
ENSMOCG00000007455,ENSMUSG00000047884,Klk9,Klk9
ENSMOCG00000007456,ENSMUSG00000002020,Ltbp2,Ltbp2
ENSMOCG00000007457,,,U8
ENSMOCG00000007458,,,
ENSMOCG00000007459,,,5S_rRNA
ENSMOCG00000007460,,,
ENSMOCG00000007461,,,
ENSMOCG00000007462,ENSMUSG00000021807,Rtraf,Rtraf
ENSMOCG00000007463,,,
ENSMOCG00000007464,ENSMUSG00000076049,Mir598,
ENSMOCG00000007465,ENSMUSG00000035513,Ntng2,Ntng2
ENSMOCG00000007466,ENSMUSG00000047654,Tssk6,Tssk6
ENSMOCG00000007467,ENSMUSG00000048981,Krt31,Krt31
ENSMOCG00000007468,ENSMUSG00000073755,5730409E04Rik,5730409E04Rik
ENSMOCG00000007469,ENSMUSG00000098836,Gm27572,
ENSMOCG00000007470,ENSMUSG00000038563,Efl1,Efl1
ENSMOCG00000007471,ENSMUSG00000084466,Gm22960,U6
ENSMOCG00000007472,ENSMUSG00000075324,Fign,Fign
ENSMOCG00000007473,,,5S_rRNA
ENSMOCG00000007474,,,
ENSMOCG00000007475,,,
ENSMOCG00000007476,ENSMUSG00000018442,Derl2,Derl2
ENSMOCG00000007477,,,U8
ENSMOCG00000007478,ENSMUSG00000065465,Mir33,
ENSMOCG00000007479,ENSMUSG00000063415,Cyp26b1,Cyp26b1
ENSMOCG00000007480,ENSMUSG00000022123,Scel,Scel
ENSMOCG00000007481,,,
ENSMOCG00000007482,ENSMUSG00000025939,Ube2w,Ube2w
ENSMOCG00000007483,ENSMUSG00000000826,Dnajc5,Dnajc5
ENSMOCG00000007484,ENSMUSG00000065289,Gm23650,
ENSMOCG00000007485,ENSMUSG00000089581,Gm23341,U6
ENSMOCG00000007486,ENSMUSG00000053110,Yap1,Yap1
ENSMOCG00000007487,ENSMUSG00000020143,Dock2,Dock2
ENSMOCG00000007488,ENSMUSG00000029467,Atp2a2,Atp2a2
ENSMOCG00000007489,ENSMUSG00000049580,Tsku,Tsku
ENSMOCG00000007490,ENSMUSG00000065475,Mir27b,
ENSMOCG00000007491,ENSMUSG00000044375,Pcare,Pcare
ENSMOCG00000007492,,,5S_rRNA
ENSMOCG00000007493,ENSMUSG00000071317,Bves,Bves
ENSMOCG00000007494,,,
ENSMOCG00000007495,ENSMUSG00000006498,Ptbp1,Ptbp1
ENSMOCG00000007496,ENSMUSG00000055937,Krt28,Krt28
