"genes" "Transcript.length..including.UTRs.and.CDS."
"5353" "ENSMOCG00000006129" 210
"5354" "Trp53i13" 1389
"5355" "Pomp" 627
"5356" "ENSMOCG00000006133" 87
"5357" "ENSMOCG00000006135" 127
"5358" "Spats2l" 2132
"5359" "B3gnt3" 1113
"5360" "Slc22a1" 1902
"5361" "Gm22620" 132
"5362" "Kpna1" 2770
"5363" "ENSMOCG00000006141" 133
"5364" "Gm27898" 80
"5365" "Pheta2" 780
"5366" "Pcdhac1" 2319
"5367" "ENSMOCG00000006146" 86
"5368" "ENSMOCG00000006148" 315
"5369" "ENSMOCG00000006149" 129
"5370" "Pbrm1" 4839
"5371" "Prl7a2" 756
"5372" "Hsf2bp" 1566
"5373" "ENSMOCG00000006153" 75
"5374" "ENSMOCG00000006154" 133
"5375" "Mkrn1" 1827
"5376" "Mmp3" 1431
"5377" "Sox2ot" 67
"5378" "ENSMOCG00000006158" 294
"5379" "Mir500" 91
"5380" "Slc7a4" 2371
"5381" "Mark4" 3523
"5382" "ENSMOCG00000006162" 2484
"5383" "Fig4" 3264
"5384" "ENSMOCG00000006166" 129
"5385" "Olfml2a" 5370
"5386" "ENSMOCG00000006168" 411
"5387" "Impg1" 2391
"5388" "ENSMOCG00000006170" 690
"5389" "Efcab3" 1363
"5390" "Spx" 357
"5391" "Ddx58" 2319
"5392" "ENSMOCG00000006174" 131
"5393" "ENSMOCG00000006175" 75
"5394" "Gm23262" 185
"5395" "Shmt2" 2096
"5396" "F8" 9030
"5397" "ENSMOCG00000006179" 267
"5398" "Rnf6" 3373
"5399" "Mir9-1" 89
"5400" "2310003L06Rik" 1455
"5401" "Prkab1" 2029
"5402" "ENSMOCG00000006184" 447
"5403" "ENSMOCG00000006186" 128
"5404" "Cacna1g" 8094
"5405" "Asl" 1386
"5406" "Gm25200" 147
"5407" "ENSMOCG00000006191" 354
"5408" "Gm25394" 133
"5409" "ENSMOCG00000006194" 96
"5410" "ENSMOCG00000006195" 75
"5411" "Dok5" 1522
"5412" "ENSMOCG00000006197" 127
"5413" "Ngb" 1474
"5414" "Crip2" 1212
"5415" "Top1" 3865
"5416" "Osgin2" 2472
"5417" "ENSMOCG00000006202" 933
"5418" "Nckap5l" 4724
"5419" "Srfbp1" 1423
"5420" "Ifngr2" 840
"5421" "Ntsr1" 1859
"5422" "Akap17b" 5106
"5423" "ENSMOCG00000006210" 133
"5424" "Psmc5" 1349
"5425" "Adam12" 2712
"5426" "ENSMOCG00000006213" 534
"5427" "ENSMOCG00000006214" 438
"5428" "ENSMOCG00000006215" 75
"5429" "Mir100" 80
"5430" "Plekha5" 3729
"5431" "Pcnx2" 6378
"5432" "Ergic3" 1143
"5433" "Dcst2" 2085
"5434" "ENSMOCG00000006222" 128
"5435" "Chic1" 797
"5436" "Smpd3" 2334
"5437" "Wt1" 3057
"5438" "ENSMOCG00000006226" 75
"5439" "Dtymk" 465
"5440" "Crybb3" 805
"5441" "ENSMOCG00000006231" 133
"5442" "Arl4c" 579
"5443" "Stox2" 4576
"5444" "Tbp" 1836
"5445" "ENSMOCG00000006235" 669
"5446" "ENSMOCG00000006236" 210
"5447" "ENSMOCG00000006237" 72
"5448" "ENSMOCG00000006238" 270
"5449" "Plscr4" 2228
"5450" "ENSMOCG00000006241" 75
"5451" "Xylb" 1659
"5452" "ENSMOCG00000006243" 125
"5453" "Napa" 918
"5454" "ENSMOCG00000006245" 622
"5455" "SNORD81" 77
"5456" "Il12a" 820
"5457" "ENSMOCG00000006249" 192
"5458" "ENSMOCG00000006250" 828
"5459" "ENSMOCG00000006252" 207
"5460" "ENSMOCG00000006253" 74
"5461" "Dab1" 1668
"5462" "Pcdhgb4" 2424
"5463" "Srd5a3" 999
"5464" "Fbxo28" 1444
"5465" "Trim44" 5500
"5466" "ENSMOCG00000006260" 75
"5467" "ENSMOCG00000006261" 450
"5468" "ENSMOCG00000006262" 127
"5469" "Gm27599" 165
"5470" "Pnkp" 1814
"5471" "Bdh2" 1090
"5472" "Car3" 1492
"5473" "ENSMOCG00000006268" 525
"5474" "Disp3" 5148
"5475" "Ei24" 2194
"5476" "Mir449a" 91
"5477" "Gls2" 2560
"5478" "Smco4" 180
"5479" "Gm25854" 72
"5480" "ENSMOCG00000006276" 510
"5481" "Nova1" 3938
"5482" "Ciao2b" 698
"5483" "ENSMOCG00000006280" 861
"5484" "Zscan10" 2719
"5485" "Abi3" 1243
"5486" "ENSMOCG00000006283" 978
"5487" "Adra1d" 2684
"5488" "Gm27528" 212
"5489" "ENSMOCG00000006286" 126
"5490" "ENSMOCG00000006287" 699
"5491" "ENSMOCG00000006288" 882
"5492" "ENSMOCG00000006289" 1767
"5493" "Gabpb1" 2448
"5494" "ENSMOCG00000006292" 73
"5495" "Selenop" 1014
"5496" "Synpo2l" 4260
"5497" "Ndufa10" 1509
"5498" "Ahrr" 2409
"5499" "ENSMOCG00000006298" 75
"5500" "ENSMOCG00000006299" 156
"5501" "Foxe1" 1116
"5502" "ENSMOCG00000006301" 1035
"5503" "Lamp5" 3097
"5504" "ENSMOCG00000006304" 549
"5505" "Chd1l" 2706
"5506" "Snord19" 77
"5507" "Ppp2r5b" 1494
"5508" "ENSMOCG00000006308" 126
"5509" "ENSMOCG00000006309" 993
"5510" "ENSMOCG00000006310" 633
"5511" "Galnt15" 2175
"5512" "Mir350" 95
"5513" "Trib2" 4305
"5514" "ENSMOCG00000006316" 177
"5515" "Gm23787" 73
"5516" "Bank1" 1740
"5517" "Wdr41" 1383
"5518" "ENSMOCG00000006321" 1959
"5519" "1110008P14Rik" 665
"5520" "ENSMOCG00000006323" 219
"5521" "Tbc1d25" 2160
"5522" "Gm22767" 165
"5523" "Mir196a-2" 85
"5524" "ENSMOCG00000006327" 127
"5525" "Tnfaip3" 2503
"5526" "Ntng1" 1620
"5527" "Taf12" 1413
"5528" "Klhl31" 2751
"5529" "Gm23736" 75
"5530" "Olfr1416" 939
"5531" "ENSMOCG00000006337" 2208
"5532" "Hccs" 2064
"5533" "Slco2a1" 2123
"5534" "ENSMOCG00000006340" 486
"5535" "ENSMOCG00000006341" 939
"5536" "Mir130b" 81
"5537" "Rps6kb1" 3057
"5538" "Met" 6559
"5539" "ENSMOCG00000006345" 83
"5540" "ENSMOCG00000006346" 1143
"5541" "Hpgds" 830
"5542" "ENSMOCG00000006349" 122
"5543" "Arid3c" 1735
"5544" "E2f4" 2005
"5545" "Rps6kb2" 1731
"5546" "ENSMOCG00000006355" 77
"5547" "Pop1" 3133
"5548" "P2ry14" 1610
"5549" "Tex9" 1403
"5550" "Gpbar1" 999
"5551" "Psmd5" 1968
"5552" "Pstpip2" 1016
"5553" "Mir326" 95
"5554" "ENSMOCG00000006363" 83
"5555" "ENSMOCG00000006364" 426
"5556" "Ovol3" 574
"5557" "Slc12a2" 6370
"5558" "Fgd1" 3576
"5559" "ENSMOCG00000006371" 77
"5560" "ENSMOCG00000006372" 123
"5561" "ENSMOCG00000006373" 1119
"5562" "Eif2ak1" 2757
"5563" "ENSMOCG00000006375" 1062
"5564" "ENSMOCG00000006376" 966
"5565" "Ugt1a1" 2228
"5566" "Zfp385c" 1275
"5567" "ENSMOCG00000006379" 1431
"5568" "Mir412" 80
"5569" "ENSMOCG00000006381" 453
"5570" "Snord85" 74
"5571" "Kcnk9" 4195
"5572" "ENSMOCG00000006384" 798
"5573" "Nrip1" 7552
"5574" "Tm7sf2" 1533
"5575" "ENSMOCG00000006389" 127
"5576" "Mthfd2l" 1314
"5577" "ENSMOCG00000006391" 300
"5578" "ENSMOCG00000006392" 74
"5579" "Cpb2" 1518
"5580" "Spats2" 2559
"5581" "Adra2c" 1377
"5582" "Alox12e" 2196
"5583" "Slc37a2" 1913
"5584" "Mpzl3" 2053
"5585" "Snap25" 2089
"5586" "ENSMOCG00000006401" 119
"5587" "SNORD31" 68
"5588" "Amfr" 3203
"5589" "Mroh2b" 4695
"5590" "Dclre1c" 2234
"5591" "St6gal1" 4288
"5592" "ENSMOCG00000006410" 126
"5593" "ENSMOCG00000006411" 74
"5594" "ENSMOCG00000006412" 261
"5595" "ENSMOCG00000006413" 726
"5596" "Sbk1" 4284
"5597" "ENSMOCG00000006415" 736
"5598" "Apela" 867
"5599" "Bckdha" 1658
"5600" "ENSMOCG00000006418" 70
"5601" "ENSMOCG00000006419" 5478
"5602" "Nlgn1" 3841
"5603" "Cyp2ab1" 1500
"5604" "Gm27383" 359
"5605" "Exoc6" 2723
"5606" "Acvrl1" 1837
"5607" "Mindy4" 2253
"5608" "Ankrd1" 1961
"5609" "ENSMOCG00000006430" 306
"5610" "Tnfrsf21" 3467
"5611" "ENSMOCG00000006432" 128
"5612" "AF357425" 73
"5613" "Ppp4r4" 4329
"5614" "Mep1b" 1608
"5615" "Foxc1" 1650
"5616" "Paqr6" 1663
"5617" "Plau" 1275
"5618" "Fam20a" 2339
"5619" "Cldn34a" 885
"5620" "ENSMOCG00000006441" 89
"5621" "ENSMOCG00000006442" 143
"5622" "Pak1ip1" 1152
"5623" "Elf2" 3329
"5624" "Rab17" 722
"5625" "ENSMOCG00000006449" 128
"5626" "Ifnar1" 1668
"5627" "Prim2" 1530
"5628" "Gm27604" 72
"5629" "Lypd6" 1392
"5630" "Arl11" 531
"5631" "Igfbp3" 881
"5632" "Tomt" 2775
"5633" "ENSMOCG00000006457" 128
"5634" "ENSMOCG00000006458" 495
"5635" "ENSMOCG00000006459" 939
"5636" "ENSMOCG00000006460" 149
"5637" "ENSMOCG00000006462" 3201
"5638" "Olfr267" 975
"5639" "Tmco3" 3012
"5640" "ENSMOCG00000006467" 576
"5641" "ENSMOCG00000006468" 126
"5642" "Acaca" 9139
"5643" "ENSMOCG00000006470" 72
"5644" "Slc35b1" 1356
"5645" "Mir181b-1" 80
"5646" "Tpst1" 1906
"5647" "Olfr1052" 939
"5648" "Sfrp2" 1957
"5649" "Tfdp1" 2886
"5650" "Dand5" 555
"5651" "Plscr1" 987
"5652" "Cenpj" 4020
"5653" "Clec9a" 726
"5654" "Jun" 1002
"5655" "ENSMOCG00000006484" 128
"5656" "Rgs21" 837
"5657" "Pitpnm1" 4230
"5658" "Ssu2" 1104
"5659" "ENSMOCG00000006488" 121
"5660" "Klk8" 892
"5661" "Zc3h4" 3918
"5662" "ENSMOCG00000006493" 447
"5663" "Kif24" 4138
"5664" "Coq6" 2011
"5665" "ENSMOCG00000006496" 91
"5666" "Bicd2" 6284
"5667" "ENSMOCG00000006498" 924
"5668" "Gm27470" 214
"5669" "Sarnp" 1031
"5670" "ENSMOCG00000006503" 939
"5671" "ENSMOCG00000006506" 125
"5672" "Get4" 2110
"5673" "Pih1d2" 1340
"5674" "ENSMOCG00000006509" 387
"5675" "ENSMOCG00000006510" 85
"5676" "4933406M09Rik" 1416
"5677" "ENSMOCG00000006512" 651
"5678" "Ankzf1" 2432
"5679" "B4galnt2" 1107
"5680" "Gjd2" 2374
"5681" "Gm27695" 97
"5682" "Nr1h4" 1422
"5683" "ENSMOCG00000006521" 936
"5684" "ENSMOCG00000006522" 128
"5685" "Rnf44" 1836
"5686" "ENSMOCG00000006524" 411
"5687" "Mir761" 76
"5688" "Ppil2" 2126
"5689" "ENSMOCG00000006528" 546
"5690" "Myh15" 5784
"5691" "Tcerg1l" 2319
"5692" "ENSMOCG00000006532" 1331
"5693" "ENSMOCG00000006533" 5679
"5694" "Srp19" 874
"5695" "Sytl1" 1920
"5696" "Dcdc2b" 861
"5697" "ENSMOCG00000006538" 207
"5698" "ENSMOCG00000006541" 128
"5699" "ENSMOCG00000006542" 342
"5700" "Il2" 805
"5701" "ENSMOCG00000006544" 195
"5702" "Plac8l1" 625
"5703" "Fbxo34" 2178
"5704" "Gm25117" 143
"5705" "Ctse" 1167
"5706" "Ushbp1" 2401
"5707" "ENSMOCG00000006553" 128
"5708" "Angptl7" 1503
"5709" "Fzd7" 1719
"5710" "Sult1b1" 1091
"5711" "Klf5" 1746
"5712" "Slc39a14" 3486
"5713" "Klhl28" 1966
"5714" "Fam228b" 873
"5715" "ENSMOCG00000006564" 144
"5716" "Poll" 2146
"5717" "ENSMOCG00000006567" 165
"5718" "Retn" 497
"5719" "Cemip" 4114
"5720" "Cep85l" 2740
"5721" "ENSMOCG00000006571" 128
"5722" "Simc1" 3312
"5723" "Ddost" 1749
"5724" "Gdi1" 2387
"5725" "Agmat" 1252
"5726" "Sprr4" 222
"5727" "Sec62" 3558
"5728" "ENSMOCG00000006582" 142
"5729" "Arpp19" 1286
"5730" "Dedd" 2209
"5731" "ENSMOCG00000006586" 942
"5732" "ENSMOCG00000006587" 128
"5733" "Mrps6" 815
"5734" "Kremen1" 1356
"5735" "Stpg4" 821
"5736" "ENSMOCG00000006594" 456
"5737" "4930502E18Rik" 944
"5738" "Kcnab1" 1206
"5739" "ENSMOCG00000006597" 147
"5740" "ENSMOCG00000006599" 654
"5741" "Muc5ac" 7773
"5742" "ENSMOCG00000006601" 396
"5743" "ENSMOCG00000006602" 372
"5744" "ENSMOCG00000006603" 426
"5745" "ENSMOCG00000006605" 2828
"5746" "ENSMOCG00000006606" 129
"5747" "Trf" 2736
"5748" "ENSMOCG00000006611" 939
"5749" "Cnst" 4643
"5750" "Hyou1" 4565
"5751" "Ctnnbl1" 1886
"5752" "Alg2" 1859
"5753" "ENSMOCG00000006617" 143
"5754" "ENSMOCG00000006618" 989
"5755" "Spem1" 930
"5756" "ENSMOCG00000006620" 240
"5757" "Rtel1" 3795
"5758" "Snai2" 1042
"5759" "ENSMOCG00000006623" 126
"5760" "Rpl30" 498
"5761" "ENSMOCG00000006627" 4812
"5762" "Rnase1" 733
"5763" "Mgst1" 1020
"5764" "Pycrl" 1333
"5765" "Gm27660" 202
"5766" "Cxcr1" 1059
"5767" "ENSMOCG00000006636" 33
"5768" "Plekhh3" 3042
"5769" "Pcsk4" 1983
"5770" "Adcyap1r1" 6446
"5771" "ENSMOCG00000006640" 125
"5772" "Otof" 5982
"5773" "ENSMOCG00000006642" 6363
"5774" "ENSMOCG00000006643" 192
"5775" "Pnlip" 1442
"5776" "Wdr90" 5826
"5777" "Acer2" 1297
"5778" "Dnase1l3" 1103
"5779" "Adamts16" 4073
"5780" "Alad" 1588
"5781" "ENSMOCG00000006655" 92
"5782" "Fosl1" 1027
"5783" "Spata17" 1137
"5784" "Tmem52b" 708
"5785" "ENSMOCG00000006659" 96
"5786" "Mmut" 2366
"5787" "Grrp1" 1210
"5788" "Tsr2" 1345
"5789" "ENSMOCG00000006664" 129
"5790" "ENSMOCG00000006666" 1083
"5791" "Adgrl3" 4743
"5792" "ENSMOCG00000006668" 4507
"5793" "ENSMOCG00000006671" 80
"5794" "1110051M20Rik" 1668
"5795" "Kif2c" 2145
"5796" "Cyyr1" 204
"5797" "Mars2" 1746
"5798" "Trappc1" 656
"5799" "Xpo4" 3508
"5800" "Hdlbp" 3807
"5801" "Sez6l" 2895
"5802" "Usp27x" 1317
"5803" "Dhx36" 3015
"5804" "ENSMOCG00000006685" 125
"5805" "Lrp10" 2151
"5806" "Anapc1" 9010
"5807" "Ccdc59" 1155
"5808" "ENSMOCG00000006691" 852
"5809" "Lin37" 963
"5810" "Mir324" 89
"5811" "Prr15l" 303
"5812" "ENSMOCG00000006696" 249
"5813" "Hmgb3" 1543
"5814" "Fermt3" 2581
"5815" "Mybl1" 2361
"5816" "ENSMOCG00000006702" 125
"5817" "Ly6h" 483
"5818" "Pla2g2e" 479
"5819" "Dgkh" 5056
"5820" "ENSMOCG00000006708" 92
"5821" "ENSMOCG00000006709" 1326
"5822" "Ccdc85a" 1638
"5823" "ENSMOCG00000006712" 2631
"5824" "Mmgt1" 3954
"5825" "ENSMOCG00000006714" 125
"5826" "Tmem150b" 717
"5827" "Olfr25" 954
"5828" "Emp3" 756
"5829" "Rcan1" 2251
"5830" "Gem" 1760
"5831" "Gabarapl1" 1799
"5832" "Abhd3" 1439
"5833" "Serac1" 3422
"5834" "ENSMOCG00000006728" 92
"5835" "Aldh1l2" 4899
"5836" "Tmod1" 1385
"5837" "Agap3" 2664
"5838" "ENSMOCG00000006733" 123
"5839" "Pgrmc1" 597
"5840" "a" 396
"5841" "Srrm4" 1797
"5842" "Slc38a1" 2196
"5843" "Pth2r" 2417
"5844" "Stk38" 3358
"5845" "ENSMOCG00000006744" 582
"5846" "Krt34" 1308
"5847" "ENSMOCG00000006746" 92
"5848" "ENSMOCG00000006747" 126
"5849" "Cenpb" 1824
"5850" "ENSMOCG00000006750" 642
"5851" "Slc2a13" 6223
"5852" "Rrp12" 4325
"5853" "Serpine2" 696
"5854" "Ppfia1" 5055
"5855" "ENSMOCG00000006758" 557
"5856" "Slc35a3" 2379
"5857" "ENSMOCG00000006762" 127
"5858" "Pabpc4" 1995
"5859" "ENSMOCG00000006764" 92
"5860" "Olfr478" 945
"5861" "Il25" 501
"5862" "Camk2a" 3144
"5863" "ENSMOCG00000006769" 933
"5864" "ENSMOCG00000006770" 456
"5865" "Cnnm1" 2859
"5866" "ENSMOCG00000006775" 125
"5867" "Cfap161" 1286
"5868" "Lcorl" 1244
"5869" "ENSMOCG00000006779" 92
"5870" "Ikzf4" 3309
"5871" "ENSMOCG00000006782" 3567
"5872" "ENSMOCG00000006783" 873
"5873" "Nectin2" 1542
"5874" "1700022I11Rik" 3165
"5875" "Adam18" 201
"5876" "ENSMOCG00000006788" 94
"5877" "ENSMOCG00000006789" 1284
"5878" "ENSMOCG00000006790" 128
"5879" "Mcm3" 2983
"5880" "Gm22490" 128
"5881" "ENSMOCG00000006793" 936
"5882" "Atp6v1g1" 1161
"5883" "ENSMOCG00000006797" 89
"5884" "Kif3a" 2293
"5885" "Nup93" 2708
"5886" "Pkd2l1" 2487
"5887" "Ferd3l" 507
"5888" "ENSMOCG00000006802" 96
"5889" "Pkd2l2" 1914
"5890" "ENSMOCG00000006805" 4166
"5891" "Arrdc2" 1502
"5892" "ENSMOCG00000006807" 127
"5893" "ENSMOCG00000006808" 321
"5894" "Snx29" 4029
"5895" "ENSMOCG00000006810" 127
"5896" "Fam192a" 2001
"5897" "Abcf3" 2127
"5898" "Primpol" 1626
"5899" "Mctp2" 3183
"5900" "Nbn" 2526
"5901" "Dsn1" 1044
"5902" "Stx3" 2300
"5903" "ENSMOCG00000006820" 651
"5904" "ENSMOCG00000006821" 92
"5905" "Scgb1c1" 429
"5906" "ENSMOCG00000006824" 98
"5907" "Orc3" 2571
"5908" "ENSMOCG00000006826" 1465
"5909" "Safb2" 2865
"5910" "Gm24726" 121
"5911" "ENSMOCG00000006829" 125
"5912" "Pjvk" 1642
"5913" "ENSMOCG00000006831" 378
"5914" "Nucb2" 1398
"5915" "Clec1b" 724
"5916" "Ahsa1" 1323
"5917" "ENSMOCG00000006836" 312
"5918" "ENSMOCG00000006838" 92
"5919" "ENSMOCG00000006839" 666
"5920" "ENSMOCG00000006840" 1065
"5921" "Emx1" 1267
"5922" "ENSMOCG00000006843" 94
"5923" "ENSMOCG00000006844" 120
"5924" "Ccl8" 677
"5925" "ENSMOCG00000006846" 378
"5926" "Dph5" 1350
"5927" "ENSMOCG00000006849" 366
"5928" "Svep1" 11246
"5929" "Tspyl4" 636
"5930" "ENSMOCG00000006854" 1215
"5931" "ENSMOCG00000006855" 84
"5932" "Ghrh" 318
"5933" "Papolg" 3738
"5934" "Mst1" 2260
"5935" "Ruvbl2" 1649
"5936" "Megf10" 3444
"5937" "ENSMOCG00000006862" 128
"5938" "Med25" 2409
"5939" "ENSMOCG00000006864" 97
"5940" "ENSMOCG00000006865" 2061
"5941" "Fbxo39" 2329
"5942" "Gm27602" 110
"5943" "Ntn3" 1743
"5944" "ENSMOCG00000006870" 432
"5945" "Fus" 1807
"5946" "Kdm5a" 7575
"5947" "Olfr145" 933
"5948" "Pcnt" 8691
"5949" "ENSMOCG00000006876" 1281
"5950" "ENSMOCG00000006877" 600
"5951" "ENSMOCG00000006878" 70
"5952" "Dmc1" 2050
"5953" "ENSMOCG00000006880" 765
"5954" "ENSMOCG00000006881" 417
"5955" "Cntnap1" 5342
"5956" "Mir138-2" 71
"5957" "Stx2" 2668
"5958" "ENSMOCG00000006886" 119
"5959" "Lysmd1" 681
"5960" "Entpd8" 2164
"5961" "Ptk7" 4139
"5962" "Snord8" 110
"5963" "ENSMOCG00000006893" 4107
"5964" "ENSMOCG00000006894" 71
"5965" "Parp2" 1683
"5966" "Tifab" 573
"5967" "Hsp90b1" 2875
"5968" "ENSMOCG00000006899" 673
"5969" "Mir219c" 60
"5970" "C1qa" 1048
"5971" "Cpeb1" 2960
"5972" "Sox9" 3948
"5973" "ENSMOCG00000006904" 909
"5974" "Mir17" 84
"5975" "Nap1l5" 468
"5976" "Hs3st5" 1949
"5977" "ENSMOCG00000006908" 459
"5978" "ENSMOCG00000006909" 324
"5979" "Gm23734" 109
"5980" "ENSMOCG00000006911" 1608
"5981" "Cyp2t4" 1506
"5982" "Mir365-1" 87
"5983" "ENSMOCG00000006916" 78
"5984" "ENSMOCG00000006917" 1773
"5985" "Prl2a1" 687
"5986" "Ctrc" 852
"5987" "ENSMOCG00000006921" 936
"5988" "Mir30b" 96
"5989" "4930550L24Rik" 942
"5990" "Fbxl16" 3470
"5991" "Nr2c1" 2118
"5992" "Pank3" 1242
"5993" "Mrps16" 2323
"5994" "Efnb3" 1899
"5995" "Gm27275" 260
"5996" "Clptm1l" 1539
"5997" "ENSMOCG00000006931" 171
"5998" "Itpka" 1827
"5999" "ENSMOCG00000006934" 1701
"6000" "ENSMOCG00000006935" 1227
"6001" "ENSMOCG00000006936" 219
"6002" "Zfp385b" 2292
"6003" "Btn2a2" 2013
"6004" "ENSMOCG00000006940" 78
"6005" "Tnfsf13b" 846
"6006" "ENSMOCG00000006943" 98
"6007" "Gfral" 1179
"6008" "Trpc4ap" 3192
"6009" "ENSMOCG00000006946" 1890
"6010" "Gfy" 1533
"6011" "Cep97" 2469
"6012" "Olfr353" 681
"6013" "Pex3" 2132
"6014" "ENSMOCG00000006953" 996
"6015" "ENSMOCG00000006954" 663
"6016" "Tmem186" 642
"6017" "ENSMOCG00000006956" 95
"6018" "Best2" 1877
"6019" "Zfp385a" 2314
"6020" "ENSMOCG00000006960" 83
"6021" "ENSMOCG00000006961" 2109
"6022" "ENSMOCG00000006962" 1670
"6023" "Atp1a1" 3075
"6024" "Olfr705" 951
"6025" "ENSMOCG00000006966" 3703
"6026" "ENSMOCG00000006967" 783
"6027" "Mir124a-3" 68
"6028" "Slc16a14" 1841
"6029" "Dnm1l" 3826
"6030" "Plekhg6" 2349
"6031" "ENSMOCG00000006972" 2888
"6032" "Srsf12" 786
"6033" "ENSMOCG00000006975" 627
"6034" "Nipsnap2" 2039
"6035" "Dcps" 1014
"6036" "ENSMOCG00000006979" 108
"6037" "Slc43a2" 3235
"6038" "ENSMOCG00000006981" 1538
"6039" "Ly6g6d" 426
"6040" "Fgg" 1791
"6041" "Olfr718-ps1" 957
"6042" "Olfr561" 1060
"6043" "Fermt2" 3114
"6044" "ENSMOCG00000006989" 1219
"6045" "Mir130a" 65
"6046" "Zbtb1" 3789
"6047" "Syt4" 3992
"6048" "Rab39b" 3433
"6049" "Pnma1" 1062
"6050" "Rbms3" 1203
"6051" "Zfp30" 2286
"6052" "Tmem176a" 1049
"6053" "Setd2" 8318
"6054" "Dop1a" 7206
"6055" "ENSMOCG00000007002" 69
"6056" "ENSMOCG00000007004" 711
"6057" "Cd14" 1116
"6058" "Lcn3" 558
"6059" "ENSMOCG00000007008" 1515
"6060" "Mir124a-1" 85
"6061" "Ehd2" 2981
"6062" "Slc25a33" 1446
"6063" "ENSMOCG00000007014" 717
"6064" "ENSMOCG00000007015" 1497
"6065" "Olfr514" 945
"6066" "ENSMOCG00000007017" 119
"6067" "ENSMOCG00000007018" 735
"6068" "ENSMOCG00000007019" 114
"6069" "Rpp38" 1016
"6070" "Bpifa3" 1105
"6071" "Ccdc136" 1536
"6072" "Mir22" 95
"6073" "Fuca2" 1245
"6074" "Fam117b" 1632
"6075" "Thsd4" 2166
"6076" "ENSMOCG00000007029" 186
"6077" "Usp47" 4493
"6078" "C2cd2l" 3380
"6079" "Wdr49" 2133
"6080" "Pnmal1" 1257
"6081" "Adam9" 2487
"6082" "Pon1" 1401
"6083" "L1td1" 2487
"6084" "ENSMOCG00000007038" 1179
"6085" "ENSMOCG00000007039" 80
"6086" "Mir19b-2" 80
"6087" "Cxcr3" 1584
"6088" "ENSMOCG00000007043" 91
"6089" "Ccdc81" 1785
"6090" "Alx1" 2161
"6091" "Fbxo31" 4704
"6092" "ENSMOCG00000007048" 393
"6093" "ENSMOCG00000007049" 1323
"6094" "Tada2a" 2220
"6095" "Gpr85" 2768
"6096" "Slc9a9" 1827
"6097" "ENSMOCG00000007054" 76
"6098" "ENSMOCG00000007055" 86
"6099" "ENSMOCG00000007056" 219
"6100" "Hs3st4" 1308
"6101" "ENSMOCG00000007058" 88
"6102" "ENSMOCG00000007060" 1035
"6103" "Fev" 1466
"6104" "Taf7" 1729
"6105" "ENSMOCG00000007064" 1875
"6106" "Sp6" 1131
"6107" "ENSMOCG00000007067" 57
"6108" "ENSMOCG00000007068" 123
"6109" "ENSMOCG00000007069" 936
"6110" "ENSMOCG00000007070" 97
"6111" "Olfr986" 939
"6112" "Birc7" 1115
"6113" "ENSMOCG00000007073" 879
"6114" "Bad" 1410
"6115" "Chka" 2574
"6116" "Zfp518a" 6853
"6117" "Krt17" 1540
"6118" "ENSMOCG00000007080" 756
"6119" "Tcof1" 3513
"6120" "Lrrc4b" 3208
"6121" "Mir146" 65
"6122" "Mir132" 66
"6123" "Fignl2" 1788
"6124" "Mir192" 88
"6125" "Slc4a1ap" 2046
"6126" "Chtf18" 3019
"6127" "Slc46a3" 2154
"6128" "Pfn3" 414
"6129" "Rpa2" 882
"6130" "Recql" 2933
"6131" "Pde4a" 2535
"6132" "Hsf1" 2086
"6133" "ENSMOCG00000007099" 76
"6134" "ENSMOCG00000007100" 357
"6135" "ENSMOCG00000007101" 360
"6136" "ENSMOCG00000007102" 73
"6137" "ENSMOCG00000007103" 106
"6138" "Ypel4" 1301
"6139" "Ranbp17" 3117
"6140" "ENSMOCG00000007106" 507
"6141" "Filip1l" 3764
"6142" "ENSMOCG00000007109" 1536
"6143" "Mov10" 4025
"6144" "Tpbg" 2565
"6145" "Htr1b" 1161
"6146" "Mir200b" 70
"6147" "ENSMOCG00000007117" 801
"6148" "Pros1" 3203
"6149" "ENSMOCG00000007119" 111
"6150" "Col6a2" 3681
"6151" "Ap3b2" 3851
"6152" "Angptl4" 1898
"6153" "ENSMOCG00000007123" 68
"6154" "A2m" 4416
"6155" "Mphosph6" 1627
"6156" "Gm22435" 131
"6157" "ENSMOCG00000007128" 63
"6158" "Pde6a" 2870
"6159" "Il1f6" 483
"6160" "Rgs14" 1125
"6161" "Hist2h2bb" 381
"6162" "ENSMOCG00000007135" 573
"6163" "Mir18b" 83
"6164" "Phlda3" 1428
"6165" "Mir93" 88
"6166" "ENSMOCG00000007139" 942
"6167" "ENSMOCG00000007140" 2174
"6168" "ENSMOCG00000007141" 285
"6169" "ENSMOCG00000007142" 68
"6170" "ENSMOCG00000007143" 127
"6171" "Mcf2" 3195
"6172" "Pigw" 1922
"6173" "ENSMOCG00000007148" 873
"6174" "Tlr5" 2616
"6175" "Mir7045" 63
"6176" "ENSMOCG00000007152" 107
"6177" "ENSMOCG00000007153" 1186
"6178" "Daxx" 2440
"6179" "Trim27" 2074
"6180" "Fam227a" 1884
"6181" "Psd2" 2985
"6182" "Dtx4" 1860
"6183" "Pdcd7" 2292
"6184" "Sfn" 747
"6185" "Zfp329" 1578
"6186" "Micu2" 2787
"6187" "ENSMOCG00000007164" 129
"6188" "Kcna6" 7469
